Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2026-04-02,134,HBL,Himalayan Bank Limited,218,218,206.8,208.9,145294,30462367.3,214.7,261,184,2026-04-02T14:59:59.050073,208.9,1248,209.66,47173.09
2,2026-04-02,135,SBI,Nepal SBI Bank Limited,415,415,405.5,406,33484,13630164.8,418,452,363,2026-04-02T14:58:55.422285,406,130,407.06,46020.61
3,2026-04-02,145,SBL,Siddhartha Bank Limited,399.1,402,392,393.6,224654,89066479,402.9,424,261,2026-04-02T14:59:32.726516,393.6,415,396.46,58231.07
4,2026-04-02,148,TRH,Taragaon Regency Hotel Limited,770,782,760,766.2,3315,2545712.7,771.1,1086.3,681.1,2026-04-02T14:52:25.305091,766.2,54,767.93,15033.76
5,2026-04-02,153,BPCL,Butwal Power Company Limited,704,718,680,698.7,123208,85866304.3,718,1065,395,2026-04-02T14:59:58.355793,698.7,591,696.92,23819.13
6,2026-04-02,156,BBC,Bishal Bazar Company Limited,5100,5197,4850,4886,853,4253961,5100,6661.6,4480,2026-04-02T14:59:32.480608,4886,54,4987.05,195928.6
7,2026-04-02,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,933,943,916.5,920,37094,34363133.3,933,1144.8,822,2026-04-02T14:59:57.19751,920,454,926.37,33278.83
8,2026-04-02,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,885,885,853,853.1,20944,18043139.1,873,1010,760.2,2026-04-02T14:59:23.509715,853.1,163,861.49,17532.18
9,2026-04-02,172,NABBC,Narayani Development Bank Limited,1428,1428,1320,1346.4,15898,21716102.2,1400,1917,662,2026-04-02T14:59:58.987508,1346.4,126,1365.96,7067.73
10,2026-04-02,176,NICL,Nepal Insurance Co. Ltd.,525,525,503,509,16083,8185395.9,520.9,837,483,2026-04-02T14:59:33.048424,509,148,508.94,12972.25
11,2026-04-02,178,NLICL,National Life Insurance Co. Ltd.,601.1,605,589,594.5,30785,18283375.5,605,691,539,2026-04-02T14:59:24.078233,594.5,180,593.9,33836.85
12,2026-04-02,182,SPIL,Siddhartha Premier Insurance Limited,735,735,707.6,715,13227,9555350.3,736.9,894.5,625,2026-04-02T14:59:58.99811,715,69,722.41,20066.83
13,2026-04-02,184,PRIN,Prabhu Insurance Ltd.,730,746.6,720,725,16984,12394560,740,960.3,630,2026-04-02T14:58:01.988678,725,123,729.77,12331.93
14,2026-04-02,186,IGI,IGI Prudential insurance Limited,451.1,457.8,443,448,33732,15080009.2,460,600,392,2026-04-02T14:59:59.244688,448,195,447.05,13571.42
15,2026-04-02,187,NLIC,Nepal Life Insurance Co. Ltd.,791.1,798.1,780,785,53767,42230522.4,799,890,702,2026-04-02T14:59:53.861917,785,417,785.43,74419.58
16,2026-04-02,188,LICN,Life Insurance Corporation (Nepal) Limited,850,850.5,826,830,27673,23129045.6,855,1033.4,773,2026-04-02T14:59:57.645034,830,226,835.79,45650
17,2026-04-02,192,SICL,Shikhar Insurance Co. Ltd.,646,650,636,639,16474,10565712.5,654.9,876.9,588.8,2026-04-02T14:59:56.719485,639,123,641.35,19799.32
18,2026-04-02,194,NFS,Nepal Finance Ltd.,645,647.7,613,617,28961,18097600.8,635,851,576,2026-04-02T14:59:59.406445,617,277,624.89,5176.28
19,2026-04-02,204,GUFL,Gurkhas Finance Ltd.,557,557,545.1,545.1,9439,5213207.9,567,644,460.6,2026-04-02T14:59:29.696604,545.1,114,552.3,4731.43
20,2026-04-02,213,BNT,Bottlers Nepal (Terai) Limited,12100,12100,11580,11580,256,3042441,12000,13550,10660,2026-04-02T14:58:11.428525,11580,12,11884.53,14011.8
21,2026-04-02,232,GFCL,Goodwill Finance Limited,671,671,645,646,26515,17305089.7,671,756.8,528.3,2026-04-02T14:59:52.829192,646,209,652.65,6111.9
177,2026-04-02,2934,SHEL,Singati Hydro Energy Limited,329,333,311,315,475191,151061691.4,329,361,243,2026-04-02T14:59:59.943818,315,1342,317.89,9591.75
